year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1932;1;;;;Northwest Airways;Rockford - Chicago, IL - Madison, WI;Stinson SM-2A;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;1;;California;United States;Century Pacific Lines;San Francisco - Bakersfield - Los Angeles, CA;Stinson SM-6000B;8.0;7.0;1.0;8.0;7.0;1.0;0.0
1932;2;;Florida;United States;Bimini Airways;Miami - Bimini;Fairchild;5.0;4.0;1.0;5.0;4.0;1.0;0.0
1932;2;;California;United States;Boeing Air Transport;;Boeing 40;2.0;0.0;2.0;1.0;0.0;1.0;0.0
1932;2;;Michigan;United States;Transamerican Airlines;Chicago - Kalamazoo;Stearman C-3MB;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;2;;;Brazil;Aeropostale;;Latecoere 28;3.0;0.0;3.0;3.0;0.0;3.0;0.0
1932;3;2.0;Illinois;United States;Century Air Lines;Training;Stinson SM-6000B;5.0;0.0;5.0;3.0;0.0;3.0;0.0
1932;3;19.0;California;United States;American Airways;Phoenix, AZ - Los Angeles, CA;Fokker F-10A;7.0;5.0;2.0;7.0;5.0;2.0;0.0
1932;3;;Ohio;United States;Trans Continental and Western Air;Columbus - McKeesport;Northrop Alpha 3;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;3;;;Iraq;Air Orient;Damascus - Baghdad - Karachi;Farman F-190;3.0;1.0;2.0;3.0;1.0;2.0;0.0
1932;3;;Ohio;United States;National Air Transport;;Boeing 95;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;4;;Indiana;United States;Transamerica Airlines;;Stearman C-3MB;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;5;;California;United States;Pacific Air Transport;San Diego - Burbank - Oakland;Boeing 40;3.0;2.0;1.0;3.0;2.0;1.0;0.0
1932;5;12.0;Oregon;United States;Varney Air Lines;;Boeing 40;2.0;0.0;2.0;1.0;0.0;1.0;0.0
1932;7;;;Chile;Panagra;Santiago, Chile - Mendosa, Argentina;Ford 5-AT-C Tri Motor;9.0;6.0;3.0;9.0;6.0;3.0;0.0
1932;8;;;Lebanon;Air Orient;Marseille - Naples - Beyrouth - Saigon;CAMS 53;7.0;3.0;4.0;0.0;0.0;0.0;0.0
1932;8;0.0;;Germany;A B Aerotransport;Amsterdam - Hanover - Copenagen - Malmö;Junkers G-23;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1932;9;;Texas;United States;American Airways;El Paso - Dallas;Fokker F-10;4.0;2.0;2.0;3.0;1.0;2.0;0.0
1932;9;6.0;;;Air Union;;Liore-et-Olivier 213;2.0;0.0;2.0;1.0;0.0;1.0;0.0
1932;9;;;Australia;New England Airways;Sydney - Lismore - Brisbane;De Havilland DH-80;3.0;2.0;1.0;3.0;2.0;1.0;0.0
1932;10;;;Mauritania;Aeropostale;Dakar - Port Etienne - Algiers - Paris;Latecoere 28;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;10;;;Bolivia;Lloyd Aero Boliviano;;Ford Tri-motor 5;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1932;10;;;;Deutsche Lufthansa;London - Cologne - Berlin;Junkers W-33;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1932;11;;;Germany;Deutsche Lufthansa;Nuremberg - Frankfort;Junkers F-13;5.0;3.0;2.0;5.0;3.0;2.0;0.0
1932;11;;Arkansas;United States;Hunter Airways;Little Rock, AR - Memphis, TN;Travel Air 6000;2.0;1.0;1.0;2.0;1.0;1.0;0.0
1932;12;;Texas;United States;Trans Continental and Western Air;;Ford 5;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1932;12;;Colorado;United States;Boeing Air Transport;;Boeing 40;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1932;12;;;Australia;Guinea Airways;;De Havilland DH-60;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1933;1;;;;Aeropostale;;CAMS 53;3.0;0.0;3.0;1.0;0.0;1.0;0.0
1933;1;;New Jersey;United States;Eastern Air Transport;Test flight;Curtiss Condor 18;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1933;1;;Georgia;United States;American Airways;;Stearman 4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1933;1;2.0;Texas;United States;American Airways;Big Springs - San Antonio;Stearman 4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1933;1;;Oregon;United States;Pacific Air Transport;;Ford 5-AT-D;3.0;1.0;2.0;2.0;0.0;2.0;0.0
1933;3;;;Argentina;Pan American Grace Airways;Mendoza, Argentina - Santiago, Chili;Fairchild FC-2W;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1933;3;20.0;California;United States;Varney Airlines;Burbank - San Francisco;Lockheed Orion 9;3.0;2.0;1.0;3.0;2.0;1.0;11.0
1933;3;14.0;;Belgium;Imperial Airways;Cologne, Germany - Croydon, England;Armstrong Whitworth Argosy II;15.0;12.0;3.0;15.0;12.0;3.0;0.0
1933;4;;;Germany;Deutsche Lufthansa;;Junkers F-13;2.0;1.0;1.0;1.0;1.0;0.0;0.0
1933;4;12.0;New Jersey;United States;Military - U.S. Navy;;Goodyear-Zeppelin U.S.S. Akron (airship);76.0;;;73.0;;;0.0
